team1,team1score,team2,team2score,group,date,city,winner,match_number,powerplay_score_teama,powerplay_score_teamb,toss_winner,toss_decision
Delhi Capitals,159,Mumbai Indians,160,Indian Premier League69,2022-05-21,"Wankhede Stadium, Mumbai",Mumbai Indians,69.0,37,27,Mumbai Indians,field
Sunrisers Hyderabad,157,Punjab Kings,160,Indian Premier League70,2022-05-22,"Wankhede Stadium, Mumbai",Punjab Kings,70.0,43,62,Sunrisers Hyderabad,bat
Rajasthan Royals,188,Gujarat Titans,191,Qualifier 1,2022-05-24,"Eden Gardens, Kolkata",Gujarat Titans,,55,64,Gujarat Titans,field
Royal Challengers Bangalore,207,Lucknow Super Giants,193,Eliminator,2022-05-25,"Eden Gardens, Kolkata",Royal Challengers Bangalore,,52,62,Lucknow Super Giants,field
Royal Challengers Bangalore,157,Rajasthan Royals,161,Qualifier 2,2022-05-27,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,,46,67,Rajasthan Royals,field
Rajasthan Royals,130,Gujarat Titans,133,Final,2022-05-29,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,,44,31,Rajasthan Royals,bat
Chennai Super Kings,178,Gujarat Titans,182,Indian Premier League1,2023-03-31,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,1.0,51,65,Gujarat Titans,field
Punjab Kings,191,Kolkata Knight Riders,146,Indian Premier League2,2023-04-01,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,2.0,56,46,Kolkata Knight Riders,field
Lucknow Super Giants,193,Delhi Capitals,143,Indian Premier League3,2023-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,3.0,30,47,Delhi Capitals,field
Rajasthan Royals,203,Sunrisers Hyderabad,131,Indian Premier League4,2023-04-02,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,4.0,85,30,Sunrisers Hyderabad,field
Mumbai Indians,171,Royal Challengers Bangalore,172,Indian Premier League5,2023-04-02,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,5.0,29,53,Royal Challengers Bangalore,field
Chennai Super Kings,217,Lucknow Super Giants,205,Indian Premier League6,2023-04-03,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,6.0,79,80,Lucknow Super Giants,field
Delhi Capitals,162,Gujarat Titans,163,Indian Premier League7,2023-04-04,"Arun Jaitley Stadium, Delhi",Gujarat Titans,7.0,52,54,Gujarat Titans,field
Punjab Kings,197,Rajasthan Royals,192,Indian Premier League8,2023-04-05,"Barsapara Cricket Stadium, Guwahati",Punjab Kings,8.0,63,57,Rajasthan Royals,field
Kolkata Knight Riders,204,Royal Challengers Bangalore,123,Indian Premier League9,2023-04-06,"Eden Gardens, Kolkata",Kolkata Knight Riders,9.0,47,50,Royal Challengers Bangalore,field
Sunrisers Hyderabad,121,Lucknow Super Giants,127,Indian Premier League10,2023-04-07,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,10.0,43,45,Sunrisers Hyderabad,bat
Rajasthan Royals,199,Delhi Capitals,142,Indian Premier League11,2023-04-08,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,11.0,68,38,Delhi Capitals,field
Mumbai Indians,157,Chennai Super Kings,159,Indian Premier League12,2023-04-08,"Wankhede Stadium, Mumbai",Chennai Super Kings,12.0,61,68,Chennai Super Kings,field
Gujarat Titans,204,Kolkata Knight Riders,207,Indian Premier League13,2023-04-09,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,13.0,54,43,Gujarat Titans,bat
Punjab Kings,143,Sunrisers Hyderabad,145,Indian Premier League14,2023-04-09,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,14.0,41,34,Sunrisers Hyderabad,field
Royal Challengers Bangalore,212,Lucknow Super Giants,213,Indian Premier League15,2023-04-10,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,15.0,56,37,Lucknow Super Giants,field
Delhi Capitals,172,Mumbai Indians,173,Indian Premier League16,2023-04-11,"Arun Jaitley Stadium, Delhi",Mumbai Indians,16.0,51,68,Mumbai Indians,field
Rajasthan Royals,175,Chennai Super Kings,172,Indian Premier League17,2023-04-12,"MA Chidambaram Stadium, Chepauk, Chennai",Rajasthan Royals,17.0,57,45,Chennai Super Kings,field
Punjab Kings,153,Gujarat Titans,154,Indian Premier League18,2023-04-13,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Gujarat Titans,18.0,52,56,Gujarat Titans,field
Sunrisers Hyderabad,228,Kolkata Knight Riders,205,Indian Premier League19,2023-04-14,"Eden Gardens, Kolkata",Sunrisers Hyderabad,19.0,65,62,Kolkata Knight Riders,field
Royal Challengers Bangalore,174,Delhi Capitals,151,Indian Premier League20,2023-04-15,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,20.0,47,32,Delhi Capitals,field
Lucknow Super Giants,159,Punjab Kings,161,Indian Premier League21,2023-04-15,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Punjab Kings,21.0,49,45,Punjab Kings,field
Kolkata Knight Riders,185,Mumbai Indians,186,Indian Premier League22,2023-04-16,"Wankhede Stadium, Mumbai",Mumbai Indians,22.0,57,72,Mumbai Indians,field
Gujarat Titans,177,Rajasthan Royals,179,Indian Premier League23,2023-04-16,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,23.0,42,26,Rajasthan Royals,field
Chennai Super Kings,226,Royal Challengers Bangalore,218,Indian Premier League24,2023-04-17,"M Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,24.0,53,75,Royal Challengers Bangalore,field
Mumbai Indians,192,Sunrisers Hyderabad,178,Indian Premier League25,2023-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,25.0,53,42,Sunrisers Hyderabad,field
Lucknow Super Giants,154,Rajasthan Royals,144,Indian Premier League26,2023-04-19,"Sawai Mansingh Stadium, Jaipur",Lucknow Super Giants,26.0,37,47,Rajasthan Royals,field
Royal Challengers Bangalore,174,Punjab Kings,150,Indian Premier League27,2023-04-20,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Royal Challengers Bangalore,27.0,59,49,Punjab Kings,field
Kolkata Knight Riders,127,Delhi Capitals,128,Indian Premier League28,2023-04-20,"Arun Jaitley Stadium, Delhi",Delhi Capitals,28.0,35,61,Delhi Capitals,field
Sunrisers Hyderabad,134,Chennai Super Kings,138,Indian Premier League29,2023-04-21,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,29.0,45,60,Chennai Super Kings,field
Gujarat Titans,135,Lucknow Super Giants,128,Indian Premier League30,2023-04-22,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,30.0,40,53,Gujarat Titans,bat
Punjab Kings,214,Mumbai Indians,201,Indian Premier League31,2023-04-22,"Wankhede Stadium, Mumbai",Punjab Kings,31.0,58,54,Mumbai Indians,field
Royal Challengers Bangalore,189,Rajasthan Royals,182,Indian Premier League32,2023-04-23,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,32.0,62,47,Rajasthan Royals,field
Chennai Super Kings,235,Kolkata Knight Riders,186,Indian Premier League33,2023-04-23,"Eden Gardens, Kolkata",Chennai Super Kings,33.0,59,38,Kolkata Knight Riders,field
Delhi Capitals,144,Sunrisers Hyderabad,137,Indian Premier League34,2023-04-24,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Delhi Capitals,34.0,49,36,Delhi Capitals,bat
Gujarat Titans,207,Mumbai Indians,152,Indian Premier League35,2023-04-25,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,35.0,50,29,Mumbai Indians,field
Kolkata Knight Riders,200,Royal Challengers Bangalore,179,Indian Premier League36,2023-04-26,"M Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,36.0,66,58,Royal Challengers Bangalore,field
Rajasthan Royals,202,Chennai Super Kings,170,Indian Premier League37,2023-04-27,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,37.0,64,42,Rajasthan Royals,bat
Lucknow Super Giants,257,Punjab Kings,201,Indian Premier League38,2023-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Lucknow Super Giants,38.0,74,55,Punjab Kings,field
Kolkata Knight Riders,179,Gujarat Titans,180,Indian Premier League39,2023-04-29,"Eden Gardens, Kolkata",Gujarat Titans,39.0,61,52,Gujarat Titans,field
Sunrisers Hyderabad,197,Delhi Capitals,188,Indian Premier League40,2023-04-29,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,40.0,62,57,Sunrisers Hyderabad,bat
Chennai Super Kings,200,Punjab Kings,201,Indian Premier League41,2023-04-30,"MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings,41.0,57,62,Chennai Super Kings,bat
Rajasthan Royals,212,Mumbai Indians,214,Indian Premier League42,2023-04-30,"Wankhede Stadium, Mumbai",Mumbai Indians,42.0,65,58,Rajasthan Royals,bat
Royal Challengers Bangalore,126,Lucknow Super Giants,108,Indian Premier League43,2023-05-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bangalore,43.0,42,34,Royal Challengers Bangalore,bat
Delhi Capitals,130,Gujarat Titans,125,Indian Premier League44,2023-05-02,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,44.0,28,31,Delhi Capitals,bat
Lucknow Super Giants,125,Chennai Super Kings,0,Indian Premier League45,2023-05-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",no result,45.0,31,0,Chennai Super Kings,field
Punjab Kings,214,Mumbai Indians,216,Indian Premier League46,2023-05-03,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,46.0,50,54,Mumbai Indians,field
Kolkata Knight Riders,171,Sunrisers Hyderabad,166,Indian Premier League47,2023-05-04,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders,47.0,49,53,Kolkata Knight Riders,bat
Rajasthan Royals,118,Gujarat Titans,119,Indian Premier League48,2023-05-05,"Sawai Mansingh Stadium, Jaipur",Gujarat Titans,48.0,50,49,Rajasthan Royals,bat
Mumbai Indians,139,Chennai Super Kings,140,Indian Premier League49,2023-05-06,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,49.0,34,55,Chennai Super Kings,field
Royal Challengers Bangalore,181,Delhi Capitals,187,Indian Premier League50,2023-05-06,"Arun Jaitley Stadium, Delhi",Delhi Capitals,50.0,51,70,Royal Challengers Bangalore,bat
Gujarat Titans,227,Lucknow Super Giants,171,Indian Premier League51,2023-05-07,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,51.0,78,72,Lucknow Super Giants,field
Rajasthan Royals,214,Sunrisers Hyderabad,217,Indian Premier League52,2023-05-07,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,52.0,61,52,Rajasthan Royals,bat
Punjab Kings,179,Kolkata Knight Riders,182,Indian Premier League53,2023-05-08,"Eden Gardens, Kolkata",Kolkata Knight Riders,53.0,58,52,Punjab Kings,bat
Royal Challengers Bangalore,199,Mumbai Indians,200,Indian Premier League54,2023-05-09,"Wankhede Stadium, Mumbai",Mumbai Indians,54.0,56,62,Mumbai Indians,field
Chennai Super Kings,167,Delhi Capitals,140,Indian Premier League55,2023-05-10,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,55.0,49,47,Chennai Super Kings,bat
Kolkata Knight Riders,149,Rajasthan Royals,151,Indian Premier League56,2023-05-11,"Eden Gardens, Kolkata",Rajasthan Royals,56.0,37,78,Rajasthan Royals,field
Mumbai Indians,218,Gujarat Titans,191,Indian Premier League57,2023-05-12,"Wankhede Stadium, Mumbai",Mumbai Indians,57.0,61,48,Gujarat Titans,field
Sunrisers Hyderabad,182,Lucknow Super Giants,185,Indian Premier League58,2023-05-13,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Lucknow Super Giants,58.0,56,30,Sunrisers Hyderabad,bat
Punjab Kings,167,Delhi Capitals,136,Indian Premier League59,2023-05-13,"Arun Jaitley Stadium, Delhi",Punjab Kings,59.0,46,65,Delhi Capitals,field
Royal Challengers Bangalore,171,Rajasthan Royals,59,Indian Premier League60,2023-05-14,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore,60.0,42,28,Royal Challengers Bangalore,bat
Chennai Super Kings,144,Kolkata Knight Riders,147,Indian Premier League61,2023-05-14,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,61.0,52,46,Chennai Super Kings,bat
Gujarat Titans,188,Sunrisers Hyderabad,154,Indian Premier League62,2023-05-15,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,62.0,65,45,Sunrisers Hyderabad,field
Lucknow Super Giants,177,Mumbai Indians,172,Indian Premier League63,2023-05-16,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,63.0,35,58,Mumbai Indians,field
Delhi Capitals,213,Punjab Kings,198,Indian Premier League64,2023-05-17,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals,64.0,61,47,Punjab Kings,field
Sunrisers Hyderabad,186,Royal Challengers Bangalore,187,Indian Premier League65,2023-05-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Royal Challengers Bangalore,65.0,49,64,Royal Challengers Bangalore,field
Punjab Kings,187,Rajasthan Royals,189,Indian Premier League66,2023-05-19,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Rajasthan Royals,66.0,48,57,Rajasthan Royals,field
Chennai Super Kings,223,Delhi Capitals,146,Indian Premier League67,2023-05-20,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,67.0,52,34,Chennai Super Kings,bat
Lucknow Super Giants,176,Kolkata Knight Riders,175,Indian Premier League68,2023-05-20,"Eden Gardens, Kolkata",Lucknow Super Giants,68.0,54,61,Kolkata Knight Riders,field
Sunrisers Hyderabad,200,Mumbai Indians,201,Indian Premier League69,2023-05-21,"Wankhede Stadium, Mumbai",Mumbai Indians,69.0,53,60,Mumbai Indians,field
Royal Challengers Bangalore,197,Gujarat Titans,198,Indian Premier League70,2023-05-21,"M Chinnaswamy Stadium, Bengaluru",Gujarat Titans,70.0,62,51,Gujarat Titans,field
Chennai Super Kings,172,Gujarat Titans,157,Qualifier 1,2023-05-23,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,,49,41,Gujarat Titans,field
Mumbai Indians,182,Lucknow Super Giants,101,Eliminator,2023-05-24,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,,62,54,Mumbai Indians,bat
Gujarat Titans,233,Mumbai Indians,171,Qualifier 2,2023-05-26,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,,50,72,Mumbai Indians,field
Gujarat Titans,214,Chennai Super Kings,171,Final,2023-05-29,"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,,62,72,Chennai Super Kings,field
Royal Challengers Bengaluru,173,Chennai Super Kings,176,Indian Premier League1,2024-03-22,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,1.0,42,62,Royal Challengers Bengaluru,bat
Delhi Capitals,174,Punjab Kings,177,Indian Premier League2,2024-03-23,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Punjab Kings,2.0,54,60,Punjab Kings,field
Kolkata Knight Riders,208,Sunrisers Hyderabad,204,Indian Premier League3,2024-03-23,"Eden Gardens, Kolkata",Kolkata Knight Riders,3.0,43,65,Sunrisers Hyderabad,field
Rajasthan Royals,193,Lucknow Super Giants,173,Indian Premier League4,2024-03-24,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,4.0,54,47,Rajasthan Royals,bat
Gujarat Titans,168,Mumbai Indians,162,Indian Premier League5,2024-03-24,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,5.0,47,52,Mumbai Indians,field
Punjab Kings,176,Royal Challengers Bengaluru,178,Indian Premier League6,2024-03-25,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,6.0,40,50,Royal Challengers Bengaluru,field
Chennai Super Kings,206,Gujarat Titans,143,Indian Premier League7,2024-03-26,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,7.0,69,43,Gujarat Titans,field
Sunrisers Hyderabad,277,Mumbai Indians,246,Indian Premier League8,2024-03-27,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,8.0,81,76,Mumbai Indians,field
Rajasthan Royals,185,Delhi Capitals,173,Indian Premier League9,2024-03-28,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,9.0,31,59,Delhi Capitals,field
Royal Challengers Bengaluru,182,Kolkata Knight Riders,186,Indian Premier League10,2024-03-29,"M Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,10.0,61,85,Kolkata Knight Riders,field
Lucknow Super Giants,199,Punjab Kings,178,Indian Premier League11,2024-03-30,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,11.0,54,61,Lucknow Super Giants,bat
Sunrisers Hyderabad,162,Gujarat Titans,168,Indian Premier League12,2024-03-31,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,12.0,56,52,Sunrisers Hyderabad,bat
Delhi Capitals,191,Chennai Super Kings,171,Indian Premier League13,2024-03-31,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Capitals,13.0,62,32,Delhi Capitals,bat
Mumbai Indians,125,Rajasthan Royals,127,Indian Premier League14,2024-04-01,"Wankhede Stadium, Mumbai",Rajasthan Royals,14.0,46,46,Rajasthan Royals,field
Lucknow Super Giants,181,Royal Challengers Bengaluru,153,Indian Premier League15,2024-04-02,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,15.0,54,48,Royal Challengers Bengaluru,field
Kolkata Knight Riders,272,Delhi Capitals,166,Indian Premier League16,2024-04-03,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Kolkata Knight Riders,16.0,88,51,Kolkata Knight Riders,bat
Gujarat Titans,199,Punjab Kings,200,Indian Premier League17,2024-04-04,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,17.0,52,54,Punjab Kings,field
Chennai Super Kings,165,Sunrisers Hyderabad,166,Indian Premier League18,2024-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,18.0,48,78,Sunrisers Hyderabad,field
Royal Challengers Bengaluru,183,Rajasthan Royals,189,Indian Premier League19,2024-04-06,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,19.0,53,54,Rajasthan Royals,field
Mumbai Indians,234,Delhi Capitals,205,Indian Premier League20,2024-04-07,"Wankhede Stadium, Mumbai",Mumbai Indians,20.0,75,46,Delhi Capitals,field
Lucknow Super Giants,163,Gujarat Titans,130,Indian Premier League21,2024-04-07,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,21.0,47,54,Lucknow Super Giants,bat
Kolkata Knight Riders,137,Chennai Super Kings,141,Indian Premier League22,2024-04-08,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,22.0,56,52,Chennai Super Kings,field
Sunrisers Hyderabad,182,Punjab Kings,180,Indian Premier League23,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Sunrisers Hyderabad,23.0,40,27,Punjab Kings,field
Rajasthan Royals,196,Gujarat Titans,199,Indian Premier League24,2024-04-10,"Sawai Mansingh Stadium, Jaipur",Gujarat Titans,24.0,43,44,Gujarat Titans,field
Royal Challengers Bengaluru,196,Mumbai Indians,199,Indian Premier League25,2024-04-11,"Wankhede Stadium, Mumbai",Mumbai Indians,25.0,44,72,Mumbai Indians,field
Lucknow Super Giants,167,Delhi Capitals,170,Indian Premier League26,2024-04-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Delhi Capitals,26.0,57,62,Lucknow Super Giants,bat
Punjab Kings,147,Rajasthan Royals,152,Indian Premier League27,2024-04-13,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Rajasthan Royals,27.0,38,43,Rajasthan Royals,field
Lucknow Super Giants,161,Kolkata Knight Riders,162,Indian Premier League28,2024-04-14,"Eden Gardens, Kolkata",Kolkata Knight Riders,28.0,49,58,Kolkata Knight Riders,field
Chennai Super Kings,206,Mumbai Indians,186,Indian Premier League29,2024-04-14,"Wankhede Stadium, Mumbai",Chennai Super Kings,29.0,48,63,Mumbai Indians,field
Sunrisers Hyderabad,287,Royal Challengers Bengaluru,262,Indian Premier League30,2024-04-15,"M Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,30.0,76,79,Royal Challengers Bengaluru,field
Kolkata Knight Riders,223,Rajasthan Royals,224,Indian Premier League31,2024-04-16,"Eden Gardens, Kolkata",Rajasthan Royals,31.0,56,76,Rajasthan Royals,field
Gujarat Titans,89,Delhi Capitals,92,Indian Premier League32,2024-04-17,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,32.0,30,67,Delhi Capitals,field
Mumbai Indians,192,Punjab Kings,183,Indian Premier League33,2024-04-18,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Mumbai Indians,33.0,54,40,Punjab Kings,field
Chennai Super Kings,176,Lucknow Super Giants,180,Indian Premier League34,2024-04-19,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,34.0,51,54,Lucknow Super Giants,field
Sunrisers Hyderabad,266,Delhi Capitals,199,Indian Premier League35,2024-04-20,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,35.0,125,88,Delhi Capitals,field
Kolkata Knight Riders,222,Royal Challengers Bengaluru,221,Indian Premier League36,2024-04-21,"Eden Gardens, Kolkata",Kolkata Knight Riders,36.0,75,74,Royal Challengers Bengaluru,field
Punjab Kings,142,Gujarat Titans,146,Indian Premier League37,2024-04-21,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Gujarat Titans,37.0,56,44,Punjab Kings,bat
Mumbai Indians,179,Rajasthan Royals,183,Indian Premier League38,2024-04-22,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,38.0,45,61,Mumbai Indians,bat
Chennai Super Kings,210,Lucknow Super Giants,213,Indian Premier League39,2024-04-23,"MA Chidambaram Stadium, Chepauk, Chennai",Lucknow Super Giants,39.0,49,45,Lucknow Super Giants,field
Delhi Capitals,224,Gujarat Titans,220,Indian Premier League40,2024-04-24,"Arun Jaitley Stadium, Delhi",Delhi Capitals,40.0,44,67,Gujarat Titans,field
Royal Challengers Bengaluru,206,Sunrisers Hyderabad,171,Indian Premier League41,2024-04-25,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Royal Challengers Bengaluru,41.0,61,62,Royal Challengers Bengaluru,bat
Kolkata Knight Riders,261,Punjab Kings,262,Indian Premier League42,2024-04-26,"Eden Gardens, Kolkata",Punjab Kings,42.0,76,93,Punjab Kings,field
Delhi Capitals,257,Mumbai Indians,247,Indian Premier League43,2024-04-27,"Arun Jaitley Stadium, Delhi",Delhi Capitals,43.0,92,65,Mumbai Indians,field
Lucknow Super Giants,196,Rajasthan Royals,199,Indian Premier League44,2024-04-27,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Rajasthan Royals,44.0,46,60,Rajasthan Royals,field
Gujarat Titans,200,Royal Challengers Bengaluru,206,Indian Premier League45,2024-04-28,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,45.0,42,63,Royal Challengers Bengaluru,field
Chennai Super Kings,212,Sunrisers Hyderabad,134,Indian Premier League46,2024-04-28,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,46.0,50,53,Sunrisers Hyderabad,field
Delhi Capitals,153,Kolkata Knight Riders,157,Indian Premier League47,2024-04-29,"Eden Gardens, Kolkata",Kolkata Knight Riders,47.0,67,79,Delhi Capitals,bat
Mumbai Indians,144,Lucknow Super Giants,145,Indian Premier League48,2024-04-30,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,48.0,28,52,Lucknow Super Giants,field
Chennai Super Kings,162,Punjab Kings,163,Indian Premier League49,2024-05-01,"MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings,49.0,55,52,Punjab Kings,field
Sunrisers Hyderabad,201,Rajasthan Royals,200,Indian Premier League50,2024-05-02,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,50.0,37,60,Sunrisers Hyderabad,bat
Kolkata Knight Riders,169,Mumbai Indians,145,Indian Premier League51,2024-05-03,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,51.0,57,46,Mumbai Indians,field
Gujarat Titans,147,Royal Challengers Bengaluru,152,Indian Premier League52,2024-05-04,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,52.0,23,92,Royal Challengers Bengaluru,field
Chennai Super Kings,167,Punjab Kings,139,Indian Premier League53,2024-05-05,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Chennai Super Kings,53.0,60,47,Punjab Kings,field
Kolkata Knight Riders,235,Lucknow Super Giants,137,Indian Premier League54,2024-05-05,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Kolkata Knight Riders,54.0,70,55,Lucknow Super Giants,field
Sunrisers Hyderabad,173,Mumbai Indians,174,Indian Premier League55,2024-05-06,"Wankhede Stadium, Mumbai",Mumbai Indians,55.0,56,52,Mumbai Indians,field
Delhi Capitals,221,Rajasthan Royals,201,Indian Premier League56,2024-05-07,"Arun Jaitley Stadium, Delhi",Delhi Capitals,56.0,78,67,Rajasthan Royals,field
Lucknow Super Giants,165,Sunrisers Hyderabad,167,Indian Premier League57,2024-05-08,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,57.0,27,107,Lucknow Super Giants,bat
Royal Challengers Bengaluru,241,Punjab Kings,181,Indian Premier League58,2024-05-09,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Royal Challengers Bengaluru,58.0,56,75,Punjab Kings,field
Gujarat Titans,231,Chennai Super Kings,196,Indian Premier League59,2024-05-10,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,59.0,58,43,Chennai Super Kings,field
Kolkata Knight Riders,157,Mumbai Indians,139,Indian Premier League60,2024-05-11,"Eden Gardens, Kolkata",Kolkata Knight Riders,60.0,52,62,Mumbai Indians,field
Rajasthan Royals,141,Chennai Super Kings,145,Indian Premier League61,2024-05-12,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,61.0,42,56,Rajasthan Royals,bat
Royal Challengers Bengaluru,187,Delhi Capitals,140,Indian Premier League62,2024-05-12,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,62.0,61,54,Delhi Capitals,field
Delhi Capitals,208,Lucknow Super Giants,189,Indian Premier League64,2024-05-14,"Arun Jaitley Stadium, Delhi",Delhi Capitals,64.0,73,59,Lucknow Super Giants,field
Rajasthan Royals,144,Punjab Kings,145,Indian Premier League65,2024-05-15,"Barsapara Cricket Stadium, Guwahati",Punjab Kings,65.0,38,39,Rajasthan Royals,bat
Lucknow Super Giants,214,Mumbai Indians,196,Indian Premier League67,2024-05-17,"Wankhede Stadium, Mumbai",Lucknow Super Giants,67.0,49,53,Mumbai Indians,field
